Pos,Team,Player,Salary,projOwn%,actualOwn%,Diff,Proj,Scored,dk_id,dk_player_name,dk_name_plus_id,dk_team_abbr,dk_salary,dk_slate_date,dk_game_key,salary_diff,candidate_count,best_tie_count,match_method,match_status
F,,Hannes Steinbach,"$11,100",2.35%,0%,0%,44.02,59.0,42168486,Hannes Steinbach,Hannes Steinbach (42168486),UW,11100,2026-03-04,USC@UW,0.0,2,1,exact_name,matched
G,,Darius Acuff Jr.,"$9,900",10.75%,8.80%,-1.90%,45.62,53.25,42168490,Darius Acuff Jr.,Darius Acuff Jr. (42168490),ARK,9900,2026-03-04,TEX@ARK,0.0,4,1,exact_name,matched
F,,Trevon Brazile,"$8,200",6.30%,1.26%,-5%,30.29,49.25,42168528,Trevon Brazile,Trevon Brazile (42168528),ARK,8200,2026-03-04,TEX@ARK,0.0,4,1,exact_name,matched
G/F,,Barry Dunning Jr.,"$6,700",14.16%,17.14%,3%,29.23,48.0,42168597,Barry Dunning Jr.,Barry Dunning Jr. (42168597),PITT,6700,2026-03-04,FSU@PITT,0.0,2,1,exact_name,matched
G,,Jaron Pierre Jr.,"$7,300",3.95%,24.46%,20.50%,34.73,47.5,42168573,Jaron Pierre Jr.,Jaron Pierre Jr. (42168573),SMU,7300,2026-03-04,MIA@SMU,0.0,4,1,exact_name,matched
G,,Tounde Yessoufou,"$8,000",4.45%,0%,0%,25.25,44.0,42168537,Tounde Yessoufou,Tounde Yessoufou (42168537),BAY,8000,2026-03-04,BAY@UH,0.0,3,1,exact_name,matched
G,,Ebuka Okorie,"$9,300",8.95%,14.17%,5.20%,40.69,43.25,42168499,Ebuka Okorie,Ebuka Okorie (42168499),STAN,9300,2026-03-04,STAN@ND,0.0,2,1,exact_name,matched
G,,Zoom Diallo,"$7,900",3%,0%,0%,27.37,43.25,42168543,Zoom Diallo,Zoom Diallo (42168543),UW,7900,2026-03-04,USC@UW,0.0,2,1,exact_name,matched
G,,Tre Donaldson,"$8,200",7.25%,6.17%,-1.10%,35.45,40.75,42168526,Tre Donaldson,Tre Donaldson (42168526),MIA,8200,2026-03-04,MIA@SMU,0.0,2,1,exact_name,matched
G,,Kingston Flemings,"$8,700",7.15%,0%,0%,33.09,40.75,42168509,Kingston Flemings,Kingston Flemings (42168509),UH,8700,2026-03-04,BAY@UH,0.0,5,1,exact_name,matched
