player_name,team_abbr,opp_abbr,salary,position,roster_position,game_key,dk_id,name_plus_id,slate_date,slate_key,reason,source_name
Hannes Steinbach,WASH,USC,11100,F,F/UTIL,USC@UW,42168486,Hannes Steinbach (42168486),2026-03-04,main,,local_dk_slate_import:2026-03-04:main
Boopie Miller,SMU,MIA-FL,8400,G,G/UTIL,MIA@SMU,42168520,Boopie Miller (42168520),2026-03-04,main,,local_dk_slate_import:2026-03-04:main
Braden Smith,PURDUE,NW,9800,G,G/UTIL,PUR@NW,42168492,Braden Smith (42168492),2026-03-04,main,,local_dk_slate_import:2026-03-04:main
Tre Donaldson,MIA-FL,SMU,8200,G,G/UTIL,MIA@SMU,42168526,Tre Donaldson (42168526),2026-03-04,main,,local_dk_slate_import:2026-03-04:main
Malik Reneau,MIA-FL,SMU,7900,F,F/UTIL,MIA@SMU,42168541,Malik Reneau (42168541),2026-03-04,main,,local_dk_slate_import:2026-03-04:main
Kingston Flemings,HOU,BAYLOR,8700,G,G/UTIL,BAY@UH,42168509,Kingston Flemings (42168509),2026-03-04,main,,local_dk_slate_import:2026-03-04:main
Trey Kaufman-Renn,PURDUE,NW,8800,F,F/UTIL,PUR@NW,42168507,Trey Kaufman-Renn (42168507),2026-03-04,main,,local_dk_slate_import:2026-03-04:main
Lamar Wilkerson,IND,MINN,9000,G,G/UTIL,MINN@IU,42168503,Lamar Wilkerson (42168503),2026-03-04,main,,local_dk_slate_import:2026-03-04:main
Duke Brennan,VILL,DEPAUL,8500,F,F/UTIL,VU@DPU,42168513,Duke Brennan (42168513),2026-03-04,main,,local_dk_slate_import:2026-03-04:main
Solomon Washington,MD,WISC,8600,F,F/UTIL,UMD@WISC,42168511,Solomon Washington (42168511),2026-03-04,main,,local_dk_slate_import:2026-03-04:main
Zoom Diallo,WASH,USC,7900,G,G/UTIL,USC@UW,42168543,Zoom Diallo (42168543),2026-03-04,main,,local_dk_slate_import:2026-03-04:main
Acaden Lewis,VILL,DEPAUL,7200,G,G/UTIL,VU@DPU,42168577,Acaden Lewis (42168577),2026-03-04,main,,local_dk_slate_import:2026-03-04:main
Tucker DeVries,IND,MINN,8000,F,F/UTIL,MINN@IU,42168535,Tucker DeVries (42168535),2026-03-04,main,,local_dk_slate_import:2026-03-04:main
Tyler Perkins,VILL,DEPAUL,7500,G,G/UTIL,VU@DPU,42168563,Tyler Perkins (42168563),2026-03-04,main,,local_dk_slate_import:2026-03-04:main
Cameron Carr,BAYLOR,HOU,9100,G,G/UTIL,BAY@UH,42168501,Cameron Carr (42168501),2026-03-04,main,,local_dk_slate_import:2026-03-04:main
Tounde Yessoufou,BAYLOR,HOU,8000,G,G/UTIL,BAY@UH,42168537,Tounde Yessoufou (42168537),2026-03-04,main,,local_dk_slate_import:2026-03-04:main
Lajae Jones,FLAST,PITT,6400,G,G/UTIL,FSU@PITT,42168610,Lajae Jones (42168610),2026-03-04,main,,local_dk_slate_import:2026-03-04:main
Andre Mills,MD,WISC,7700,G,G/UTIL,UMD@WISC,42168553,Andre Mills (42168553),2026-03-04,main,,local_dk_slate_import:2026-03-04:main
Shelton Henderson,MIA-FL,SMU,7000,F,F/UTIL,MIA@SMU,42168585,Shelton Henderson (42168585),2026-03-04,main,,local_dk_slate_import:2026-03-04:main
NJ Benson,DEPAUL,VILL,7600,F,F/UTIL,VU@DPU,42168555,NJ Benson (42168555),2026-03-04,main,,local_dk_slate_import:2026-03-04:main
Emanuel Sharp,HOU,BAYLOR,6500,G,G/UTIL,BAY@UH,42168604,Emanuel Sharp (42168604),2026-03-04,main,,local_dk_slate_import:2026-03-04:main
Milos Uzan,HOU,BAYLOR,6600,G,G/UTIL,BAY@UH,42168600,Milos Uzan (42168600),2026-03-04,main,,local_dk_slate_import:2026-03-04:main
Layden Blocker,DEPAUL,VILL,5500,G,G/UTIL,VU@DPU,42168650,Layden Blocker (42168650),2026-03-04,main,,local_dk_slate_import:2026-03-04:main
Fletcher Loyer,PURDUE,NW,5700,G,G/UTIL,PUR@NW,42168636,Fletcher Loyer (42168636),2026-03-04,main,,local_dk_slate_import:2026-03-04:main
Oscar Cluff,PURDUE,NW,5500,F,F/UTIL,PUR@NW,42168648,Oscar Cluff (42168648),2026-03-04,main,,local_dk_slate_import:2026-03-04:main
Tru Washington,MIA-FL,SMU,5900,G,G/UTIL,MIA@SMU,42168628,Tru Washington (42168628),2026-03-04,main,,local_dk_slate_import:2026-03-04:main
Brandon Maclin,DEPAUL,VILL,7400,G,G/UTIL,VU@DPU,42168567,Brandon Maclin (42168567),2026-03-04,main,,local_dk_slate_import:2026-03-04:main
Chauncey Wiggins,FLAST,PITT,5300,F,F/UTIL,FSU@PITT,42168660,Chauncey Wiggins (42168660),2026-03-04,main,,local_dk_slate_import:2026-03-04:main
Dante Allen,MIA-FL,SMU,4700,G,G/UTIL,MIA@SMU,42168694,Dante Allen (42168694),2026-03-04,main,,local_dk_slate_import:2026-03-04:main
Martin Somerville,FLAST,PITT,5100,G,G/UTIL,FSU@PITT,42168674,Martin Somerville (42168674),2026-03-04,main,,local_dk_slate_import:2026-03-04:main
Sam Alexis,IND,MINN,5700,F,F/UTIL,MINN@IU,42168638,Sam Alexis (42168638),2026-03-04,main,,local_dk_slate_import:2026-03-04:main
Joseph Tugler,HOU,BAYLOR,5000,F,F/UTIL,BAY@UH,42168678,Joseph Tugler (42168678),2026-03-04,main,,local_dk_slate_import:2026-03-04:main
Elijah Saunders,MD,WISC,6300,F,F/UTIL,UMD@WISC,42168614,Elijah Saunders (42168614),2026-03-04,main,,local_dk_slate_import:2026-03-04:main
Bryce Lindsay,VILL,DEPAUL,4400,G,G/UTIL,VU@DPU,42168725,Bryce Lindsay (42168725),2026-03-04,main,,local_dk_slate_import:2026-03-04:main
Franck Kepnang,WASH,USC,4600,F,F/UTIL,USC@UW,42168700,Franck Kepnang (42168700),2026-03-04,main,,local_dk_slate_import:2026-03-04:main
Quimari Peterson,WASH,USC,4600,G,G/UTIL,USC@UW,42168702,Quimari Peterson (42168702),2026-03-04,main,,local_dk_slate_import:2026-03-04:main
CJ Gunn,DEPAUL,VILL,5600,G,G/UTIL,VU@DPU,42168640,CJ Gunn (42168640),2026-03-04,main,,local_dk_slate_import:2026-03-04:main
Obi Agbim,BAYLOR,HOU,5200,G,G/UTIL,BAY@UH,42168664,Obi Agbim (42168664),2026-03-04,main,,local_dk_slate_import:2026-03-04:main
RJ Smith,DEPAUL,VILL,4900,G,G/UTIL,VU@DPU,42168686,RJ Smith (42168686),2026-03-04,main,,local_dk_slate_import:2026-03-04:main
Darius Adams,MD,WISC,4900,G,G/UTIL,UMD@WISC,42168682,Darius Adams (42168682),2026-03-04,main,,local_dk_slate_import:2026-03-04:main
Devin Askew,VILL,DEPAUL,4700,G,G/UTIL,VU@DPU,42168696,Devin Askew (42168696),2026-03-04,main,,local_dk_slate_import:2026-03-04:main
Conor Enright,IND,MINN,4600,G,G/UTIL,MINN@IU,42168704,Conor Enright (42168704),2026-03-04,main,,local_dk_slate_import:2026-03-04:main
